epoch,train_loss,val_loss,train_acc,val_acc,total_dice,total_recall,total_f1_score,dice_wt,precision_wt,recall_wt,f1_wt,specificity_wt,boundary_dice_wt,dice_tc,precision_tc,recall_tc,f1_tc,specificity_tc,boundary_dice_tc,dice_et,precision_et,recall_et,f1_et,specificity_et,boundary_dice_et
91,0.4052,0.4975,0.9967,0.9937,0.5323,0.6179,0.5323,0.6443,0.6671,0.6877,0.6443,0.9997,0.4786,0.7579,0.6994,0.866,0.7579,0.9981,0.4423,0.757,0.7326,0.8277,0.757,0.9995,0.6111
92,0.3918,0.4884,0.9968,0.9937,0.526,0.6187,0.526,0.6585,0.6863,0.6932,0.6585,0.9997,0.4939,0.7603,0.7049,0.8656,0.7603,0.9982,0.4491,0.761,0.7331,0.8262,0.7574,0.9995,0.6154
93,0.3818,0.4862,0.9968,0.9936,0.5183,0.602,0.5111,0.6513,0.6768,0.6884,0.6513,0.9996,0.4828,0.7671,0.7156,0.8621,0.7671,0.9983,0.457,0.7541,0.7332,0.8255,0.7541,0.9995,0.6065
94,0.3697,0.4758,0.997,0.9917,0.499,0.5835,0.4919,0.6577,0.6838,0.6943,0.6577,0.9997,0.4973,0.7767,0.7271,0.8651,0.7767,0.9984,0.4678,0.7609,0.744,0.8238,0.7609,0.9995,0.622
95,0.3641,0.4751,0.9968,0.9851,0.4749,0.6804,0.4749,0.65,0.6725,0.6927,0.65,0.9996,0.4907,0.7626,0.7218,0.8486,0.7626,0.9984,0.4641,0.7641,0.7392,0.8341,0.7641,0.9995,0.6255
96,0.3545,0.4601,0.9968,0.9933,0.5311,0.6175,0.5239,0.6517,0.6802,0.6968,0.6517,0.9997,0.4942,0.7623,0.7136,0.8558,0.7623,0.9983,0.4464,0.7579,0.7357,0.8256,0.7579,0.9995,0.6219
97,0.3401,0.4506,0.997,0.9926,0.5275,0.6459,0.5239,0.6521,0.675,0.6965,0.6521,0.9997,0.4906,0.7762,0.7318,0.8563,0.7762,0.9985,0.4776,0.7693,0.7475,0.8255,0.7657,0.9995,0.6277
98,0.3298,0.4271,0.997,0.9916,0.4984,0.6667,0.4948,0.6621,0.6833,0.7105,0.6621,0.9996,0.4933,0.7778,0.7374,0.8538,0.7778,0.9985,0.4791,0.7682,0.7537,0.8247,0.7682,0.9996,0.6286
99,0.3183,0.4293,0.9971,0.9929,0.5331,0.6599,0.5295,0.6727,0.7013,0.7056,0.6727,0.9997,0.5133,0.7795,0.7393,0.8586,0.7795,0.9985,0.4811,0.7772,0.7565,0.8326,0.7772,0.9996,0.6433
100,0.3103,0.4343,0.9971,0.9941,0.5576,0.6152,0.5504,0.6725,0.699,0.7148,0.6725,0.9997,0.5071,0.7772,0.7376,0.8569,0.7772,0.9985,0.4781,0.7847,0.7612,0.8272,0.7775,0.9995,0.6366
101,0.2969,0.4254,0.9973,0.994,0.5317,0.6099,0.5245,0.6872,0.7108,0.7204,0.6872,0.9997,0.5212,0.7931,0.7554,0.8579,0.7931,0.9986,0.499,0.7813,0.769,0.8274,0.7813,0.9996,0.6478
102,0.2906,0.4212,0.9972,0.9934,0.5465,0.6429,0.5393,0.6825,0.703,0.7179,0.6825,0.9997,0.5186,0.7877,0.7532,0.8549,0.7877,0.9986,0.4956,0.7795,0.7597,0.8363,0.7795,0.9996,0.6474
103,0.2863,0.4093,0.997,0.9931,0.5339,0.6409,0.5303,0.6819,0.7036,0.7188,0.6819,0.9997,0.5161,0.7811,0.7387,0.8625,0.7811,0.9984,0.4771,0.7747,0.7646,0.8235,0.7747,0.9996,0.6425
104,0.2806,0.4238,0.9971,0.9917,0.5219,0.6198,0.5219,0.6801,0.6985,0.7198,0.6801,0.9997,0.524,0.7801,0.7506,0.8482,0.7801,0.9986,0.4862,0.7767,0.7615,0.8269,0.7767,0.9996,0.6472
